timestep,start_lane,end_lane
30:03:00,4,14
30:04:00,22,7
30:04:00,21,8
30:06:00,10,19
30:06:00,9,2
30:06:00,11,18
30:12:00,16,2
30:13:00,17,1
30:13:00,5,13
30:16:00,15,8
30:18:00,22,7
30:18:00,21,8
30:18:00,10,19
30:20:00,11,18
30:22:00,9,2
30:23:00,15,8
30:24:00,6,7
30:28:00,16,2
30:30:00,22,7
30:30:00,21,8
30:32:00,11,18
30:32:00,10,19
30:34:00,10,19
30:37:00,4,14
30:38:00,5,13
30:38:00,17,1
30:44:00,11,18
30:44:00,22,7
30:44:00,21,8
30:46:00,10,19
30:52:00,4,14
30:54:00,6,7
30:54:00,9,2
30:59:00,22,1
31:01:00,15,8
31:04:00,21,8
31:04:00,22,7
31:05:00,4,14
31:06:00,10,19
31:07:00,11,18
31:09:00,6,7
31:09:00,21,8
31:09:00,22,7
31:09:00,17,18
31:10:00,9,1
31:11:00,22,7
31:12:00,21,8
31:13:00,11,18
31:13:00,21,8
31:18:00,3,18
31:23:00,10,19
31:24:00,11,18
31:25:00,6,7
31:25:00,22,7
31:25:00,21,8
31:27:00,17,18
31:33:00,11,18
31:33:00,10,19
31:35:00,21,8
31:36:00,22,7
31:37:00,15,8
31:38:00,16,2
31:38:00,17,1
31:41:00,3,18
31:50:00,20,14
31:51:00,22,7
31:51:00,21,8
31:55:00,11,18
31:55:00,10,19
31:59:00,17,1
31:59:00,16,2
32:00:00,15,8
32:01:00,4,14
32:02:00,5,13
32:04:00,6,7
32:06:00,3,18
32:10:00,22,7
32:10:00,21,8
32:14:00,11,18
32:14:00,10,19
32:15:00,6,7
32:15:00,20,13
32:17:00,5,13
32:18:00,17,1
32:20:00,16,2
32:20:00,15,8
32:25:00,22,7
32:25:00,21,8
32:25:00,20,13
32:27:00,10,19
32:27:00,11,18
32:32:00,17,1
32:32:00,16,2
32:38:00,17,18
32:39:00,3,18
32:40:00,22,7
32:41:00,11,18
32:45:00,10,19
32:45:00,21,8
32:48:00,20,13
32:49:00,5,13
32:52:00,17,1
32:55:00,21,8
32:56:00,11,18
33:01:00,16,2
33:05:00,22,7
33:05:00,21,8
33:08:00,11,18
33:11:00,20,13
33:11:00,10,19
33:14:00,9,2
33:16:00,6,7
33:16:00,16,2
33:18:00,15,8
33:23:00,20,13
33:27:00,11,18
33:29:00,10,19
33:29:00,22,7
33:29:00,21,8
33:35:00,5,13
33:35:00,4,14
33:35:00,3,18
33:37:00,15,8
33:39:00,17,1
33:42:00,11,18
33:44:00,22,7
33:45:00,12,13
33:45:00,10,19
33:46:00,21,8
33:50:00,20,14
33:50:00,4,14
33:57:00,15,8
33:58:00,11,18
33:58:00,17,1
34:01:00,10,19
34:02:00,22,7
34:02:00,21,8
34:08:00,4,14
34:09:00,12,13
34:10:00,3,18
34:15:00,22,7
34:15:00,21,8
34:16:00,10,19
34:16:00,11,18
34:21:00,16,2
34:23:00,17,1
34:23:00,4,14
34:26:00,22,7
34:26:00,21,8
34:27:00,11,18
34:27:00,10,19
34:29:00,12,13
34:31:00,17,18
34:33:00,16,2
34:36:00,4,14
34:40:00,22,7
34:41:00,10,19
34:44:00,21,8
34:44:00,17,18
34:44:00,16,2
34:46:00,4,14
34:48:00,17,18
34:53:00,11,18
34:54:00,10,19
34:54:00,9,2
35:01:00,22,7
35:01:00,21,8
35:02:00,15,8
35:05:00,5,13
35:05:00,17,1
35:08:00,11,18
35:08:00,16,2
35:09:00,17,18
35:09:00,3,18
35:12:00,10,19
35:17:00,22,7
35:17:00,21,8
35:23:00,15,8
